file_id,entity_id,entity_type,raw_layer,length,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,aspect_ratio,center_x,center_y,start_x,start_y,end_x,end_y,radius,start_angle,end_angle,n_vertices,is_closed,text_content,is_geometric
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__0,LINE,Wall,1.599999999999966,-297.1406804030686,216.5948855333315,-295.5406804030686,216.5948855333315,1.599999999999966,0.0,,-296.34068040306863,216.5948855333315,-297.1406804030686,216.5948855333315,-295.5406804030686,216.5948855333315,,,,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__1,LINE,Wall,0.30000000000012506,-302.5406804030686,219.5948855333315,-302.2406804030685,219.5948855333315,0.30000000000012506,0.0,,-302.3906804030686,219.5948855333315,-302.5406804030686,219.5948855333315,-302.2406804030685,219.5948855333315,,,,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__2,LINE,Wall,2.349999999999852,-301.1406804030685,219.5948855333315,-298.7906804030686,219.5948855333316,2.349999999999852,8.526512829121202e-14,,-299.9656804030685,219.59488553333154,-301.1406804030685,219.5948855333315,-298.7906804030686,219.5948855333316,,,,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__3,LINE,Wall,0.30000000000001137,-297.1406804030686,219.4448855333316,-296.8406804030686,219.4448855333316,0.30000000000001137,0.0,,-296.9906804030686,219.4448855333316,-297.1406804030686,219.4448855333316,-296.8406804030686,219.4448855333316,,,,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__4,LINE,Wall,0.1500000000000341,-297.2906804030686,219.5948855333316,-297.1406804030686,219.5948855333316,0.1500000000000341,0.0,,-297.21568040306863,219.5948855333316,-297.2906804030686,219.5948855333316,-297.1406804030686,219.5948855333316,,,,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__5,LINE,Wall,0.30000000000001137,-297.1406804030686,217.9448855333316,-296.8406804030686,217.9448855333316,0.30000000000001137,0.0,,-296.9906804030686,217.9448855333316,-297.1406804030686,217.9448855333316,-296.8406804030686,217.9448855333316,,,,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__6,LINE,Wall,2.349999999999852,-301.1406804030685,219.8948855333315,-298.7906804030686,219.8948855333315,2.349999999999852,0.0,,-299.9656804030685,219.8948855333315,-301.1406804030685,219.8948855333315,-298.7906804030686,219.8948855333315,,,,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__7,LINE,Wall,0.1500000000001478,-297.2906804030686,219.8948855333315,-297.1406804030685,219.8948855333316,0.1500000000001478,1.1368683772161603e-13,,-297.2156804030685,219.89488553333155,-297.2906804030686,219.8948855333315,-297.1406804030685,219.8948855333316,,,,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__8,LINE,pipes,1.6582046276342908,-301.0406804030685,221.0948855333316,-299.3824757754342,221.0948855333316,1.6582046276342908,0.0,,-300.21157808925136,221.0948855333316,-301.0406804030685,221.0948855333316,-299.3824757754342,221.0948855333316,,,,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__9,LINE,pipes,1.558204627634268,-300.9406804030685,221.1948855333316,-299.3824757754342,221.1948855333316,1.558204627634268,0.0,,-300.16157808925135,221.1948855333316,-300.9406804030685,221.1948855333316,-299.3824757754342,221.1948855333316,,,,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__10,ARC,pipes,0.15707963267948086,-299.3824757754342,221.0948855333316,-299.3324757754342,221.19488553333161,0.05000000000001137,0.10000000000002274,0.5,-299.3574757754342,221.1448855333316,,,,,0.0499999999999972,270.0,90.0,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__11,LINE,Wall,1.0,-290.5406804030686,222.5948855333315,-289.5406804030686,222.5948855333315,1.0,0.0,,-290.0406804030686,222.5948855333315,-290.5406804030686,222.5948855333315,-289.5406804030686,222.5948855333315,,,,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__12,LINE,Wall,1.0095842401769346,-290.8502646432455,222.8948855333315,-289.8406804030686,222.8948855333315,1.0095842401769346,0.0,,-290.345472523157,222.8948855333315,-290.8502646432455,222.8948855333315,-289.8406804030686,222.8948855333315,,,,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__13,LINE,Wall,1.6000000000000796,-289.5406804030686,222.5948855333315,-289.5406804030686,224.1948855333316,0.0,1.6000000000000796,0.0,-289.5406804030686,223.39488553333155,-289.5406804030686,222.5948855333315,-289.5406804030686,224.1948855333316,,,,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__14,LINE,Wall,2.1736544032710015,-289.5406804030686,230.9948855333314,-289.5406804030686,233.1685399366024,0.0,2.1736544032710015,0.0,-289.5406804030686,232.0817127349669,-289.5406804030686,230.9948855333314,-289.5406804030686,233.1685399366024,,,,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__15,ARC,WINDOW,2.013579207903375,-292.78368556911744,218.42367713700716,-291.36947200674433,219.83789069938032,1.4142135623731065,1.4142135623731633,0.9999999999999598,-292.0765787879309,219.13078391819374,,,,,5.0,303.4630409671839,326.5369590328156,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__16,ARC,WINDOW,1.9410903564188535,-292.8829373831397,218.57384063927486,-291.519635509012,219.93714251340256,1.3633018741276715,1.3633018741276999,0.9999999999999791,-292.20128644607587,219.25549157633873,,,,,4.82,303.4630409671839,326.5369590328156,,,,True
2bhk_villa_design_ground_floor_plan_1,2bhk_villa_design_ground_floor_plan_1__17,ARC,Wall,0.30018029222641285,-291.36947200674433,219.8378906993803,-291.2115672613689,220.09313026825004,0.15790474537544696,0.2552395688697402,0.6186530798288278,-291.29051963405664,219.96551048381517,,,,,5.0,326.5369590328154,329.9767718003308,,,,True
